Ano,Instituição,Vagas,Candidatos,Candidatos primeira opcao,Colocados masculino,Colocados feminino,Classificacao ultimo colocado
2000,Universidade de Coimbra - Faculdade de Medicina,150,2090,751,58,102,183.5
2000,Universidade de Lisboa - Faculdade de Medicina,185,1071,346,62,124,182.5
2000,Universidade do Porto - Faculdade de Medicina,165,1061,422,66,100,184.3
2000,Universidade do Porto – ICBAS,90,1393,397,34,56,184.3
2000,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,145,1906,606,55,94,181.3
2001,Universidade da Beira Interior,60,2264,410,13,50,184.9
2001,Universidade de Coimbra - Faculdade de Medicina,180,2193,623,56,128,185.5
2001,Universidade de Lisboa - Faculdade de Medicina,215,1500,471,75,157,184.5
2001,Universidade do Minho,50,2333,404,14,38,186.0
2001,Universidade do Porto - Faculdade de Medicina,180,1458,602,65,122,188.0
2001,Universidade do Porto – ICBAS,110,1552,330,23,92,186.8
2001,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,150,2181,523,62,90,184.3
2002,Universidade da Beira Interior,60,1317,209,17,47,185.1
2002,Universidade de Coimbra - Faculdade de Medicina,200,1639,462,70,131,184.3
2002,Universidade de Lisboa - Faculdade de Medicina,230,1545,432,70,164,183.5
2002,Universidade do Minho,50,1148,168,18,32,185.8
2002,Universidade do Porto - Faculdade de Medicina,190,839,375,50,141,187.5
2002,Universidade do Porto – ICBAS,115,1104,366,44,74,186.5
2002,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,160,1920,558,59,109,183.5
2003,Universidade da Beira Interior,61,1092,155,16,46,183.5
2003,Universidade de Coimbra - Faculdade de Medicina,200,1568,485,76,130,183.3
2003,Universidade de Lisboa - Faculdade de Medicina,230,1299,382,87,152,181.8
2003,Universidade do Minho,50,1009,146,20,31,184.5
2003,Universidade do Porto - Faculdade de Medicina,190,802,373,69,122,185.8
2003,Universidade do Porto – ICBAS,125,1144,370,40,85,184.8
2003,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,160,1793,531,63,105,181.5
2004,Universidade da Beira Interior,80,1158,179,17,64,180.7
2004,Universidade da Madeira,35,209,31,16,19,178.0
2004,Universidade de Coimbra - Faculdade de Medicina,210,1512,435,90,121,181.8
2004,Universidade de Lisboa - Faculdade de Medicina,270,1250,336,88,182,179.5
2004,Universidade do Minho,60,946,170,19,41,183.0
2004,Universidade do Porto - Faculdade de Medicina,200,849,406,61,139,185.0
2004,Universidade do Porto – ICBAS,135,1185,346,52,83,183.3
2004,Universidade dos Açores,20,349,80,10,11,178.0
2004,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,175,2028,674,56,119,179.3
2005,Universidade da Beira Interior,80,1495,234,18,63,183.6
2005,Universidade da Madeira,35,387,38,10,25,181.8
2005,Universidade de Coimbra - Faculdade de Medicina,215,2061,564,73,145,184.3
2005,Universidade de Lisboa - Faculdade de Medicina,275,1859,534,99,177,183.0
2005,Universidade do Minho,60,1173,200,16,44,185.0
2005,Universidade do Porto - Faculdade de Medicina,240,1318,588,78,162,186.8
2005,Universidade do Porto – ICBAS,145,1652,471,49,96,185.3
2005,Universidade dos Açores,20,608,112,7,13,183.0
2005,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,175,2524,683,45,130,182.5
2006,Universidade da Beira Interior,100,1868,333,21,79,179.6
2006,Universidade da Madeira,38,394,24,15,23,176.3
2006,Universidade de Coimbra - Faculdade de Medicina,237,1696,481,72,165,179.5
2006,Universidade de Lisboa - Faculdade de Medicina,295,1195,347,115,180,177.5
2006,Universidade do Minho,62,1083,208,28,34,183.0
2006,Universidade do Porto - Faculdade de Medicina,240,801,366,86,154,181.0
2006,Universidade do Porto – ICBAS,150,1406,543,54,96,181.5
2006,Universidade dos Açores,25,487,62,7,18,177.3
2006,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,200,2449,822,55,146,177.8
2007,Universidade da Beira Interior,105,2163,296,18,87,183.5
2007,Universidade da Madeira,38,330,38,13,25,177.5
2007,Universidade de Coimbra - Faculdade de Medicina,237,2292,484,81,156,181.8
2007,Universidade de Lisboa - Faculdade de Medicina,295,1159,296,94,201,178.3
2007,Universidade do Minho,95,1203,223,32,63,181.0
2007,Universidade do Porto - Faculdade de Medicina,240,2136,876,82,159,186.3
2007,Universidade do Porto – ICBAS,150,1180,314,55,95,182.0
2007,Universidade dos Açores,30,392,37,10,20,177.8
2007,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,210,3426,1475,71,146,188.5
2008,Universidade da Beira Interior,115,1535,154,35,80,179.2
2008,Universidade da Madeira,38,664,143,16,22,179.0
2008,Universidade de Coimbra - Faculdade de Medicina,253,2168,501,93,160,181.7
2008,Universidade de Lisboa - Faculdade de Medicina,295,2564,831,104,191,180.7
2008,Universidade do Minho,120,1727,383,32,88,182.7
2008,Universidade do Porto - Faculdade de Medicina,245,1370,548,105,140,185.2
2008,Universidade do Porto – ICBAS,155,1414,333,52,104,183.7
2008,Universidade dos Açores,38,471,57,12,26,179.2
2008,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,230,2042,393,73,158,179.8
2009,Universidade da Beira Interior,115,2133,371,43,74,178.5
2009,Universidade da Madeira,38,561,77,8,30,178.3
2009,Universidade de Coimbra - Faculdade de Medicina,254,1865,461,97,157,180.5
2009,Universidade de Lisboa - Faculdade de Medicina,295,2013,590,96,199,179.5
2009,Universidade do Minho,120,1455,370,35,85,181.5
2009,Universidade do Porto - Faculdade de Medicina,245,1048,428,93,153,183.7
2009,Universidade do Porto – ICBAS,155,1099,333,53,102,182.0
2009,Universidade dos Açores,38,473,46,13,25,178.2
2009,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,230,2460,617,70,160,178.8
2010,Universidade da Beira Interior,142,1752,207,50,92,
2010,Universidade da Madeira,39,577,77,12,27,
2010,Universidade de Coimbra - Faculdade de Medicina,255,1886,511,79,176,
2010,Universidade de Lisboa - Faculdade de Medicina,295,2059,575,114,181,
2010,Universidade do Minho,120,1121,217,42,78,
2010,Universidade do Porto - Faculdade de Medicina,245,1200,477,91,154,
2010,Universidade do Porto – ICBAS,155,1106,347,50,105,
2010,Universidade dos Açores,39,564,76,10,29,
2010,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,230,2133,354,85,145,
2011,Universidade da Beira Interior,142,2034,251,46,96,180.8
2011,Universidade da Madeira,38,674,82,10,28,180.2
2011,Universidade de Coimbra - Faculdade de Medicina,259,2104,525,87,172,183.5
2011,Universidade de Lisboa - Faculdade de Medicina,295,2190,567,104,191,182.0
2011,Universidade do Minho,120,1324,273,41,79,184.5
2011,Universidade do Porto - Faculdade de Medicina,245,1254,530,94,151,186.3
2011,Universidade do Porto – ICBAS,155,1296,455,70,85,185.5
2011,Universidade dos Açores,38,610,80,11,27,180.0
2011,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,232,2349,420,74,158,181.2
2012,Universidade da Beira Interior,148,1918,223,40,108,179.0
2012,Universidade da Madeira,38,801,91,13,25,178.8
2012,Universidade de Coimbra - Faculdade de Medicina,256,1814,506,98,158,181.3
2012,Universidade de Lisboa - Faculdade de Medicina,298,1958,612,106,192,180.5
2012,Universidade do Minho,123,1017,243,35,88,182.5
2012,Universidade do Porto - Faculdade de Medicina,249,983,415,104,145,183.5
2012,Universidade do Porto – ICBAS,156,1040,438,31,125,183.5
2012,Universidade dos Açores,39,796,71,15,24,178.7
2012,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,234,2167,403,80,154,179.5
2013,Universidade da Beira Interior,141,1284,150,42,99,174.3
2013,Universidade da Madeira,38,583,57,13,25,174.0
2013,Universidade de Coimbra - Faculdade de Medicina,255,1313,348,80,175,177.8
2013,Universidade de Lisboa - Faculdade de Medicina,295,1326,384,118,177,176.2
2013,Universidade do Minho,120,763,185,41,79,179.2
2013,Universidade do Porto - Faculdade de Medicina,245,902,429,92,153,181.0
2013,Universidade do Porto – ICBAS,155,706,253,55,100,180.7
2013,Universidade dos Açores,38,575,51,6,32,173.8
2013,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,231,1487,257,77,154,174.8
